epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,15334,0.33762,0.28861,0.95512,0.96458,0.96004,0.97944,0.95859,0.23806,0.1755,0.84365,0.004555,0.004555,0.004555
57,15596.2,0.34425,0.28299,0.96036,0.94998,0.96106,0.97965,0.95736,0.23902,0.18618,0.84374,0.004456,0.004456,0.004456
58,15872,0.33101,0.27504,0.95516,0.95592,0.96229,0.98026,0.96052,0.23703,0.17702,0.84277,0.004357,0.004357,0.004357
59,16138.3,0.32393,0.26484,0.94521,0.96325,0.95912,0.97736,0.95881,0.23436,0.18174,0.84182,0.004258,0.004258,0.004258
60,16405.5,0.33127,0.26538,0.94841,0.95965,0.96187,0.97796,0.95713,0.24276,0.18723,0.84569,0.004159,0.004159,0.004159
61,16664.2,0.32684,0.27705,0.94994,0.96722,0.96147,0.97531,0.9552,0.23317,0.18113,0.84181,0.00406,0.00406,0.00406
62,16933.7,0.32881,0.27841,0.95596,0.94872,0.95263,0.97567,0.95614,0.23061,0.18855,0.84089,0.003961,0.003961,0.003961
63,17200.7,0.3316,0.2801,0.9542,0.96313,0.96466,0.97679,0.95854,0.23136,0.18554,0.84114,0.003862,0.003862,0.003862
64,17477,0.33316,0.27364,0.95227,0.95737,0.96266,0.9787,0.96124,0.23011,0.17544,0.83751,0.003763,0.003763,0.003763
65,17749,0.31374,0.26325,0.93545,0.96381,0.96332,0.977,0.95716,0.23384,0.17808,0.84098,0.003664,0.003664,0.003664
66,18016.7,0.31835,0.25067,0.9434,0.959,0.96251,0.97963,0.96175,0.23103,0.17324,0.83856,0.003565,0.003565,0.003565
67,18286.4,0.30936,0.2415,0.93998,0.95918,0.96898,0.9781,0.96043,0.23011,0.17232,0.83773,0.003466,0.003466,0.003466
68,18553.7,0.31275,0.25031,0.94127,0.9652,0.95807,0.97795,0.96059,0.23008,0.17117,0.83749,0.003367,0.003367,0.003367
69,18835.4,0.31074,0.24656,0.94273,0.95977,0.9619,0.97735,0.96098,0.22651,0.17446,0.83591,0.003268,0.003268,0.003268
70,19109.2,0.32155,0.25554,0.94649,0.96484,0.96005,0.97926,0.96316,0.22648,0.17014,0.83725,0.003169,0.003169,0.003169
71,19382,0.31057,0.23573,0.94138,0.96339,0.9607,0.97754,0.96067,0.22653,0.17275,0.83751,0.00307,0.00307,0.00307
72,19647.2,0.30458,0.2373,0.93699,0.96339,0.96346,0.97662,0.96065,0.22546,0.17256,0.83711,0.002971,0.002971,0.002971
73,19925.5,0.31704,0.24963,0.94344,0.96326,0.95867,0.97647,0.96182,0.22172,0.16898,0.83373,0.002872,0.002872,0.002872
74,20182.4,0.30894,0.23651,0.93768,0.96026,0.96313,0.97792,0.96298,0.22243,0.17102,0.83339,0.002773,0.002773,0.002773
75,20458.8,0.29821,0.23973,0.92989,0.9628,0.96473,0.97767,0.9628,0.22263,0.16895,0.83332,0.002674,0.002674,0.002674
76,20727.6,0.3082,0.24721,0.94074,0.96427,0.96038,0.97985,0.96563,0.2208,0.17537,0.83153,0.002575,0.002575,0.002575
